Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
266,0.3232,0.4131,0.4624,0.4946,0.5205
267,0.3091,0.3866,0.4454,0.4798,0.498
268,0.3144,0.3973,0.4491,0.4887,0.5235
269,0.3221,0.3938,0.4627,0.4903,0.513
270,0.3135,0.3856,0.4658,0.4719,0.516
271,0.3259,0.3799,0.4381,0.4815,0.4995
272,0.3104,0.3957,0.4557,0.4905,0.5081
273,0.3191,0.3922,0.4615,0.4893,0.5227
274,0.3167,0.3932,0.4447,0.4771,0.5008
275,0.3172,0.4082,0.4416,0.5126,0.5214
276,0.3171,0.383,0.4626,0.5024,0.5199
277,0.3245,0.3974,0.4536,0.4931,0.518
278,0.315,0.3829,0.4502,0.497,0.5102
279,0.312,0.4026,0.4459,0.4732,0.5093
280,0.3185,0.4054,0.4448,0.4945,0.5307
281,0.3208,0.3936,0.4397,0.4901,0.5247
282,0.3095,0.4271,0.4495,0.4779,0.5154
283,0.3207,0.4,0.4309,0.4973,0.5233
284,0.3283,0.413,0.4758,0.4943,0.5001
285,0.3202,0.3939,0.4448,0.4964,0.5059
286,0.3107,0.4042,0.4328,0.4749,0.4967
287,0.312,0.3948,0.4455,0.4975,0.5146
288,0.3114,0.3953,0.4529,0.4703,0.5202
289,0.317,0.4005,0.4711,0.4939,0.5149
290,0.3053,0.3928,0.4304,0.4728,0.5147
291,0.3193,0.3912,0.4321,0.4734,0.5111
292,0.3087,0.4192,0.4409,0.4957,0.515
293,0.3062,0.4281,0.4452,0.4824,0.5098
294,0.3146,0.3988,0.47,0.4852,0.5082
295,0.3175,0.3811,0.4408,0.4995,0.5301
296,0.3121,0.3918,0.4447,0.4901,0.5142
297,0.3124,0.4096,0.4184,0.4817,0.522
298,0.3182,0.3841,0.4322,0.4961,0.5251
299,0.3181,0.4107,0.4601,0.4774,0.5029
300,0.3129,0.3853,0.4554,0.5071,0.5256
301,0.3143,0.3921,0.4397,0.4864,0.5192
302,0.324,0.3932,0.4569,0.5016,0.5089
303,0.3102,0.3795,0.453,0.4739,0.5046
