Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
135,0.5295,0.5795,0.6295,0.6542,0.694,0.7576,0.7713,0.8611,0.318
136,0.5578,0.5484,0.6513,0.6614,0.7192,0.7577,0.8314,0.8533,0.3151
137,0.4892,0.5853,0.589,0.6555,0.6885,0.7076,0.756,0.8125,0.3145
138,0.5741,0.5785,0.6539,0.6238,0.6493,0.7393,0.7015,0.8278,0.3186
139,0.5044,0.5725,0.6065,0.6756,0.7275,0.7318,0.8319,0.8307,0.313
140,0.4839,0.5664,0.5743,0.6196,0.6474,0.6827,0.7032,0.7786,0.3104
141,0.5332,0.5688,0.6033,0.6281,0.6574,0.682,0.7194,0.7561,0.3114
142,0.5629,0.5747,0.672,0.6416,0.6756,0.7989,0.7447,0.9211,0.3168
143,0.488,0.5945,0.6048,0.6409,0.6677,0.7391,0.7177,0.8593,0.3065
144,0.4656,0.5956,0.5632,0.6487,0.6817,0.6813,0.7374,0.7746,0.3166
145,0.4494,0.5378,0.5603,0.6216,0.6662,0.7009,0.7507,0.8122,0.3186
146,0.554,0.6175,0.6389,0.6695,0.696,0.7375,0.7517,0.8331,0.3091
147,0.5419,0.6019,0.6571,0.6708,0.7018,0.7964,0.7658,0.9168,0.3102
148,0.4744,0.6396,0.6022,0.7225,0.7607,0.7639,0.8431,0.8925,0.3227
149,0.5942,0.5801,0.6928,0.6591,0.6964,0.8005,0.7792,0.9017,0.3122
150,0.5281,0.6034,0.5979,0.6631,0.6941,0.6777,0.7525,0.7508,0.3241
151,0.4626,0.5133,0.5763,0.6004,0.6441,0.7202,0.7289,0.8269,0.3233
152,0.5656,0.5426,0.6784,0.647,0.6989,0.8121,0.7978,0.9282,0.3144
153,0.4829,0.5926,0.6037,0.6474,0.6811,0.7601,0.7364,0.8882,0.3134
154,0.4975,0.6513,0.5956,0.7288,0.7645,0.7122,0.8416,0.7999,0.3213
155,0.4739,0.6125,0.6052,0.6903,0.7308,0.7664,0.8091,0.8956,0.315
156,0.5532,0.5591,0.6686,0.6266,0.6603,0.8109,0.7308,0.924,0.3113
157,0.5921,0.5148,0.6919,0.6121,0.6528,0.8173,0.745,0.9244,0.3032
158,0.5305,0.6225,0.6588,0.6843,0.7143,0.8041,0.7816,0.9291,0.3217
159,0.5007,0.5737,0.5939,0.6658,0.7161,0.7191,0.8142,0.8044,0.3235
160,0.5969,0.5788,0.687,0.6759,0.7211,0.7992,0.8095,0.8893,0.3107
161,0.499,0.5353,0.6248,0.6015,0.6397,0.7747,0.7193,0.8982,0.321
162,0.4695,0.6261,0.597,0.7085,0.7506,0.7548,0.833,0.8823,0.3171
163,0.4928,0.6227,0.6186,0.6992,0.7372,0.7761,0.8039,0.9039,0.328
164,0.5665,0.5587,0.6627,0.6517,0.7008,0.7871,0.7987,0.8923,0.3135
