Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
354,0.3148,0.3468,0.3709,0.4157,0.4063
355,0.3215,0.3308,0.3483,0.4077,0.4109
356,0.309,0.3372,0.3616,0.3891,0.4153
357,0.3238,0.3214,0.3557,0.3976,0.424
358,0.3164,0.3436,0.3712,0.392,0.4489
359,0.3149,0.3395,0.3557,0.3839,0.4085
360,0.3053,0.3498,0.3414,0.3949,0.4169
361,0.3115,0.325,0.3649,0.3955,0.4177
362,0.3134,0.3431,0.37,0.4108,0.4275
363,0.3075,0.3448,0.3741,0.3923,0.4057
364,0.3275,0.3349,0.3539,0.412,0.4385
365,0.3222,0.3253,0.353,0.3862,0.4305
366,0.3041,0.327,0.3587,0.3711,0.4189
367,0.3308,0.3217,0.3479,0.412,0.4307
368,0.3125,0.3308,0.3505,0.3915,0.4291
369,0.304,0.3405,0.3637,0.3657,0.4055
370,0.3082,0.3426,0.3733,0.3648,0.4277
371,0.3129,0.3342,0.3553,0.4022,0.436
372,0.3118,0.3387,0.3567,0.3728,0.4153
373,0.3151,0.3398,0.3619,0.3835,0.436
374,0.3083,0.3387,0.3572,0.3708,0.4506
375,0.3154,0.3317,0.3762,0.3933,0.4198
376,0.3173,0.3395,0.3468,0.3938,0.4427
377,0.3154,0.3295,0.3441,0.385,0.4382
378,0.3179,0.3242,0.3734,0.4025,0.4181
379,0.3123,0.3447,0.3635,0.3878,0.4178
380,0.318,0.3296,0.3795,0.3921,0.4221
381,0.3089,0.3337,0.3668,0.3817,0.434
382,0.313,0.3247,0.371,0.3955,0.4049
383,0.3203,0.3408,0.367,0.3847,0.4157
384,0.3127,0.3289,0.3446,0.3747,0.417
385,0.3088,0.3251,0.3509,0.3904,0.4302
386,0.3102,0.3392,0.3478,0.3757,0.432
387,0.3212,0.347,0.3514,0.4113,0.4077
388,0.3208,0.3259,0.3569,0.4134,0.4218
389,0.3233,0.3369,0.3618,0.4103,0.4325
390,0.3124,0.3316,0.3745,0.3887,0.44
391,0.3116,0.3279,0.3697,0.3816,0.4205
392,0.3251,0.3316,0.3765,0.4247,0.4083
393,0.3258,0.3167,0.3543,0.4212,0.4198
394,0.3121,0.3324,0.3489,0.3942,0.4435
395,0.3083,0.335,0.3673,0.3819,0.4196
396,0.3193,0.3336,0.3589,0.4037,0.4088
397,0.3214,0.3484,0.3812,0.3894,0.4222
398,0.32,0.3393,0.3339,0.4025,0.4338
399,0.3194,0.3461,0.3821,0.4077,0.4022
400,0.3148,0.3391,0.3379,0.3995,0.43
401,0.3116,0.336,0.3664,0.3776,0.4279
402,0.3187,0.3444,0.3473,0.4075,0.4416
403,0.3141,0.3351,0.3378,0.3724,0.4462
404,0.3188,0.3323,0.3469,0.3829,0.4234
405,0.3117,0.3508,0.3796,0.3819,0.4262
406,0.31,0.3415,0.3623,0.3756,0.4188
407,0.3083,0.3199,0.3548,0.3693,0.4325
408,0.3102,0.3277,0.3729,0.3801,0.4331
409,0.3218,0.343,0.3622,0.4126,0.438
410,0.3224,0.3513,0.3664,0.3954,0.4235
411,0.3147,0.3357,0.3575,0.4001,0.4213
412,0.3137,0.339,0.3532,0.3919,0.4238
413,0.3078,0.3299,0.3637,0.3801,0.4406
414,0.3155,0.3308,0.3538,0.3874,0.4218
415,0.3053,0.3254,0.3542,0.3847,0.4408
416,0.3164,0.3375,0.373,0.3868,0.4461
417,0.3159,0.3431,0.3881,0.3863,0.4156
418,0.3216,0.337,0.3835,0.3931,0.4415
419,0.3168,0.341,0.3694,0.3957,0.4205
420,0.3155,0.3294,0.3704,0.4079,0.4253
421,0.306,0.3521,0.3417,0.376,0.4265
422,0.311,0.3298,0.3736,0.4016,0.407
423,0.3236,0.3487,0.3634,0.3932,0.4062
424,0.3072,0.3425,0.3741,0.3715,0.4183
425,0.3115,0.3373,0.3325,0.3985,0.4082
426,0.3185,0.3452,0.3687,0.4057,0.4052
427,0.3082,0.3372,0.3489,0.3688,0.4147
428,0.3247,0.3393,0.3503,0.4229,0.4159
429,0.3168,0.3311,0.3537,0.3732,0.4318
430,0.3162,0.3314,0.3657,0.3928,0.4082
431,0.3144,0.3395,0.3646,0.3822,0.4324
432,0.31,0.3294,0.3436,0.3824,0.4175
433,0.315,0.3282,0.3451,0.3938,0.4106
434,0.3172,0.323,0.3507,0.3943,0.4225
435,0.3123,0.3164,0.3784,0.3918,0.396
436,0.3042,0.3317,0.3489,0.3842,0.4355
437,0.3227,0.3417,0.3705,0.4184,0.4297
438,0.3122,0.3437,0.3719,0.3913,0.4442
439,0.3148,0.3343,0.3867,0.3907,0.4313
440,0.3185,0.3186,0.3752,0.3869,0.4323
441,0.3145,0.3485,0.3757,0.3882,0.4329
442,0.3194,0.3105,0.3547,0.4078,0.432
443,0.3206,0.3517,0.3518,0.4194,0.4192
444,0.317,0.3446,0.3657,0.3982,0.4228
445,0.3086,0.3391,0.3712,0.3795,0.4305
446,0.317,0.3447,0.3533,0.3912,0.4185
447,0.3175,0.3314,0.3802,0.3903,0.4192
448,0.3166,0.3383,0.3459,0.4033,0.4084
449,0.3129,0.3436,0.3659,0.3896,0.4117
450,0.3147,0.3342,0.3791,0.4049,0.4195
451,0.32,0.3475,0.3802,0.3947,0.4269
452,0.3166,0.3272,0.3642,0.401,0.4041
453,0.314,0.3349,0.354,0.3964,0.4142
454,0.3193,0.341,0.3401,0.4127,0.4388
455,0.3255,0.3432,0.3572,0.4165,0.4275
456,0.3261,0.3258,0.3703,0.4173,0.4292
457,0.3173,0.3376,0.387,0.3945,0.435
458,0.3048,0.335,0.3532,0.3805,0.4109
459,0.3203,0.3342,0.3531,0.4061,0.4255
460,0.3117,0.333,0.3769,0.3928,0.418
461,0.3164,0.3301,0.3579,0.3943,0.4051
462,0.3191,0.3348,0.3742,0.3869,0.4165
463,0.3117,0.3517,0.3491,0.3918,0.4118
464,0.3237,0.3279,0.3508,0.3903,0.4362
465,0.3265,0.3306,0.3561,0.4073,0.4046
466,0.3033,0.3321,0.3434,0.3803,0.416
467,0.3085,0.333,0.3845,0.3714,0.4265
468,0.3151,0.3332,0.3774,0.3765,0.4249
469,0.3195,0.3326,0.35,0.3987,0.4217
470,0.3098,0.3343,0.3749,0.3729,0.4318
471,0.3127,0.3377,0.3753,0.3845,0.4087
472,0.3234,0.3422,0.3618,0.4025,0.4108
473,0.3283,0.3488,0.3639,0.417,0.4264
474,0.3249,0.3444,0.3597,0.4163,0.4282
475,0.3137,0.3302,0.3765,0.3852,0.4082
476,0.3107,0.3506,0.3605,0.389,0.4156
477,0.3176,0.3417,0.3825,0.4112,0.406
478,0.3177,0.3306,0.3787,0.4144,0.4231
479,0.3115,0.341,0.3522,0.3789,0.4448
480,0.3056,0.3348,0.3673,0.3806,0.4257
481,0.3171,0.3442,0.3595,0.407,0.4012
482,0.3113,0.3475,0.3573,0.3744,0.4055
483,0.3124,0.3408,0.3643,0.3806,0.4204
484,0.319,0.3277,0.3605,0.3857,0.4271
485,0.3222,0.3194,0.3435,0.3855,0.4369
486,0.3163,0.3351,0.372,0.3937,0.4275
487,0.312,0.3351,0.3477,0.3981,0.4212
488,0.3209,0.3405,0.3497,0.4067,0.434
489,0.3128,0.3382,0.3483,0.3959,0.4152
490,0.3187,0.3292,0.3732,0.4141,0.4251
491,0.3221,0.3344,0.3419,0.39,0.4336
492,0.3177,0.3488,0.3611,0.3938,0.412
493,0.3066,0.3255,0.3526,0.3865,0.4232
494,0.3158,0.3373,0.3737,0.3828,0.4393
495,0.317,0.3274,0.3642,0.4007,0.4561
496,0.3177,0.3332,0.3455,0.3891,0.4328
